"year","album_name","artist_name_1","n_moods","n_pairs","novel_pairs","pagerank","n_origins","n_followers"
1970,"Right On!","The Last Poets",12,66,66,0.00669415592086939,7,33
1980,"Blowfly's Party [X-Rated]","Blowfly",10,45,44,0.00150253174233948,9,13
1980,"Kurtis Blow","Kurtis Blow",8,28,17,0.0089559275873719,7,39
1980,"The Sugarhill Gang","The Sugarhill Gang",18,153,147,0.007177220815664,9,32
1982,"Drop the Bomb","Trouble Funk",2,1,0,0.00315787981925575,8,7
1982,"The Message","Grandmaster Flash",13,78,71,0.00184205408697419,1,16
1983,"Death Mix Live!!!","Afrika Bambaataa",12,66,21,0.0123303182570484,10,74
1983,"Whodini","Whodini",14,91,30,0.0033800817887257,5,24
1984,"Fat Boys","The Fat Boys",19,171,121,0.0013807012026566,5,17
1984,"Run-D.M.C.","Run-D.M.C.",26,325,136,0.0133246097677286,6,114
1985,"Mantronix: The Album","Mantronix",14,91,4,0.00226699099380832,11,20
1985,"Radio","LL Cool J",26,325,126,0.00503650922303028,8,63
1985,"UTFO","U.T.F.O.",7,21,0,0.000127892954213055,1,0
1986,"Hot, Cool & Vicious","Salt-N-Pepa",14,91,36,0.00122992603172262,8,23
1986,"Kool Moe Dee","Kool Moe Dee",14,91,27,0.00385540881365313,11,33
1986,"Licensed to Ill","Beastie Boys",27,351,104,0.00603897683615537,24,93
1986,"On Fire","Stetsasonic",17,136,39,0.00269774475362294,13,35
1986,"Schoolly D","Schoolly D",11,55,8,0.00419114369586283,8,26
1986,"The 2 Live Crew Is What We Are","The 2 Live Crew",20,190,60,0.00276356253472394,10,51
1986,"Whistle","Whistle",8,28,22,0.000127892954213055,1,0
1987,"Criminal Minded","Boogie Down Productions",11,55,6,0.00599166981469266,14,81
1987,"Dana Dane with Fame","Dana Dane",6,15,1,0.000176331883405961,3,1
1987,"Dynamite","Masters of Ceremony",14,91,44,0.000127892954213055,2,0
1987,"Living Large","Heavy D & the Boyz",9,36,15,0.000212442315437682,7,3
1987,"Paid in Full","Eric B. & Rakim",24,276,88,0.00729838737952688,16,97
1987,"Rhyme Pays","Ice-T",14,91,2,0.00790926661370399,11,77
1987,"Rock the House","DJ Jazzy Jeff & the Fresh Prince",11,55,10,0.000455895804168524,8,8
1987,"Yo! Bum Rush the Show","Public Enemy",28,378,67,0.006811777478547,21,118
1988,"2 Hype","Kid 'N Play",14,91,5,0.000175548351319938,3,1
1988,"Bass Is the Name of the Game","DJ Magic Mike",8,28,2,0.000846508583708159,8,11
1988,"Chubb Rock Featuring Hitman Howie Tee","Chubb Rock",8,28,0,0.000521065941431638,5,8
1988,"Critical Beatdown","Ultramagnetic MC's",13,78,4,0.00219714210803868,8,34
1988,"Eazy-Duz-It","Eazy-E",10,45,0,0.00186800085416156,12,38
1988,"Goin' Off","Biz Markie",11,55,1,0.00218739101456365,13,34
1988,"It Takes Two","Rob Base & DJ E-Z Rock",8,28,0,0.000127892954213055,7,0
1988,"Let's Get It Started","MC Hammer",13,78,0,0.000495116685899655,12,6
1988,"Life Is... Too $hort","Too $hort",12,66,3,0.0048227415454862,6,75
1988,"Long Live the Kane","Big Daddy Kane",8,28,0,0.00443758215405063,12,64
1988,"Lyte as a Rock","MC Lyte",2,1,1,0.00137707922934848,7,22
1988,"Making Trouble","Geto Boys",15,105,6,0.00509690787306574,9,114
1988,"Straight Out the Jungle","Jungle Brothers",12,66,22,0.00196822283427178,19,46
1988,"Straight Outta Compton","N.W.A",28,378,60,0.0112695866791029,18,210
1988,"Strictly Business","EPMD",18,153,19,0.00507790736559691,18,86
1988,"Swass","Sir Mix-A-Lot",12,66,1,0.000551504873340976,7,9
1988,"The Great Adventures of Slick Rick","Slick Rick",25,300,32,0.00336362915829513,5,43
1988,"What More Can I Say?","Audio Two",5,10,2,0.0004210132725416,6,6
1989,"3 Feet High and Rising","De La Soul",17,136,1,0.00391766143892074,19,96
1989,"All Hail the Queen","Queen Latifah",14,91,17,0.00136032465265639,14,21
1989,"Brother Arab","The Arabian Prince",2,1,0,0.000182247459753604,3,1
1989,"Kwamé the Boy Genius: Featuring a New Beginning","Kwamé",3,3,2,0.000154254889400222,11,1
1989,"Loc-ed After Dark","Tone-Loc",16,120,6,0.000173793649709302,1,2
1989,"Move to Move","Kon Kan",4,6,4,0.000127892954213055,1,0
1989,"No More Mr. Nice Guy","Gang Starr",18,153,84,0.00266949296118104,17,60
1989,"No One Can Do It Better","The D.O.C.",15,105,1,0.000330462711544851,1,6
1989,"Road to the Riches","Kool G Rap & DJ Polo",17,136,22,0.00128077507710426,2,23
1989,"Stone Cold Rhymin'","Young MC",17,136,6,0.000587171147521977,8,5
1989,"Stop the World","Black, Rock & Ron",12,66,29,0.000127892954213055,5,0
1989,"The Cactus Album","3rd Bass",14,91,3,0.00107978480627872,10,19
1989,"Wild & Loose","Oaktown's 357",7,21,0,0.000127892954213055,1,0
1990,"2 Low Life Muthas","Poison Clan",8,28,2,0.000359185485576843,2,6
1990,"AmeriKKKa's Most Wanted","Ice Cube",17,136,3,0.0035879175407252,9,89
1990,"Boomin' Words from Hell","Esham",12,66,31,0.000360695564416852,9,8
1990,"Call Me D-Nice","D-Nice",8,28,0,0.000154254889400221,2,1
1990,"Forever Everlasting","Everlast",9,36,0,0.000161540981452443,15,2
1990,"Hispanic Causing Panic","Kid Frost",10,45,5,0.000363701813908181,2,7
1990,"Holy Intellect","Poor Righteous Teachers",3,3,2,0.000422897674113775,4,9
1990,"It's a Compton Thang","Compton's Most Wanted",10,45,0,0.000625493200882075,7,16
1990,"Livin' Like Hustlers","Above the Law",8,28,6,0.000796472534448909,2,14
1990,"Mental Floss for the Globe","Urban Dance Squad",3,3,0,0.000127892954213055,4,0
1990,"One for All","Brand Nubian",7,21,3,0.00102154790889294,11,27
1990,"People's Instinctive Travels and the Paths of Rhythm","A Tribe Called Quest",19,171,3,0.0037974911935781,14,93
1990,"Sex Packets","Digital Underground",11,55,0,0.00107061766769164,22,17
1990,"Supernatural","Stereo MC's",13,78,41,0.000149246509961128,6,2
1990,"Take a Look Around","Masta Ace",7,21,4,0.000432246105473174,5,6
1990,"The Devil Made Me Do It","Paris",25,300,31,0.000321139812161043,6,7
1990,"The Music Ain't Loud Enuff","DJ Kool",9,36,0,0.000203513225933233,2,2
1990,"To the East, Blackwards","X Clan",8,28,7,0.000405935189477247,4,10
1990,"To the Extreme","Vanilla Ice",8,28,9,0.00059208043152934,5,4
1991,"2Pacalypse Now","2Pac",8,28,0,0.00436647861079355,18,111
1991,"A Future Without a Past...","Leaders of the New School",5,10,0,0.000741216896980356,13,11
1991,"And Now, The Legacy Begins","Dream Warriors",10,45,13,0.000197777318479475,3,2
1991,"Bazerk Bazerk Bazerk","Son of Bazerk",8,28,0,0.000218964190741311,2,3
1991,"Breaking Atoms","Main Source",8,28,6,0.000962399556142843,9,16
1991,"Cypress Hill","Cypress Hill",25,300,38,0.00184579829909721,17,39
1991,"Get Away Clean","Master P",8,28,0,0.00243344696426626,18,67
1991,"Ghetto Dope","5th Ward Boyz",7,21,1,0.000127892954213055,6,0
1991,"Give in to the Rhythm","Arthur Baker",8,28,4,0.00141972733932892,6,13
1991,"I Wish My Brother George Was Here","Del the Funky Homosapien",15,105,70,0.00110380400706606,9,26
1991,"Life of a Kid in the Ghetto","Ed O.G & da Bulldogs",27,351,66,0.000155158437696051,1,2
1991,"Make Way for the Motherlode","Yo-Yo",7,21,3,0.000256391021319239,4,2
1991,"MC Breed & DFC","MC Breed",3,3,0,0.000578375519446078,10,10
1991,"Mr. Scarface Is Back","Scarface",12,66,0,0.00266094604809623,3,66
1991,"Naughty by Nature","Naughty by Nature",14,91,0,0.00114359562135665,8,10
1991,"Of the Heart, Of the Soul and of the Cross: The Utopian Experience","P.M. Dawn",6,15,12,0.000401021219359041,12,9
1991,"Quik Is the Name","DJ Quik",7,21,2,0.000968830009480141,6,20
1991,"Rappin' 4-Tay Is Back","Rappin' 4-Tay",2,1,0,0.000127892954213055,5,0
1991,"To Whom It May Concern...","Freestyle Fellowship",5,10,0,0.00114552836153973,14,22
1992,"3 Years, 5 Months & 2 Days in the Life Of...","Arrested Development",12,66,22,0.000563337992646059,10,11
1992,"A Totally Krossed Out World","Kris Kross",10,45,0,0.000168033325169786,2,2
1992,"Bitch Betta Have My Money","AMG",16,120,16,0.000145943230924413,2,1
1992,"Bizarre Ride II the Pharcyde","The Pharcyde",9,36,0,0.00119836498580698,12,29
1992,"Body Count","Body Count",22,231,6,0.000607441851107578,9,5
1992,"Born Gangstaz","Boss",8,28,1,0.000127892954213055,3,0
1992,"Can I Borrow a Dollar?","Common",6,15,1,0.0011123975724456,14,36
1992,"Carnival of Carnage","Insane Clown Posse",17,136,14,0.000236601965294153,17,1
1992,"Dead Serious","Das EFX",12,66,3,0.000690973418139288,13,9
1992,"F.U. Don't Take It Personal","Fu-Schnickens",10,45,0,0.00047211283911846,6,6
1992,"Guerillas in tha Mist","Da Lench Mob",14,91,0,0.000149634756429275,2,1
1992,"Hip Hop Locos","Lighter Shade of Brown",2,1,0,0.000182247459753604,1,2
1992,"House of Pain","House of Pain",19,171,4,0.000671413950732182,10,11
1992,"Hypocrisy Is the Greatest Luxury","The Disposable Heroes of Hiphoprisy",12,66,0,0.00042262580731376,6,7
1992,"Kizz My Black Azz","MC Ren",8,28,0,0.000287887340915946,5,5
1992,"Life After Death","Natas",9,36,13,0.000208888716705353,4,4
1992,"Little Big Man","Bushwick Bill",9,36,3,0.000161112500040481,2,2
1992,"Mecca and the Soul Brother","Pete Rock & C.L. Smooth",14,91,35,0.000686139827861936,7,13
1992,"Play with Toys","Basehead",6,15,4,0.00015507020698333,3,2
1992,"Reel to Reel","Grand Puba",3,3,0,0.000453155956815517,5,6
1992,"Runaway Slave","Showbiz & A.G.",13,78,2,0.000141481580598193,1,1
1992,"South Central Madness","South Central Cartel",5,10,0,0.000145943230924413,1,1
1992,"Spice 1","Spice 1",7,21,0,0.000371793771993767,4,7
1992,"The Chronic","Dr. Dre",27,351,42,0.00435650522952497,18,113
1992,"Vier Gewinnt","Die Fantastischen Vier",4,6,3,0.000236601965294153,2,1
1992,"Whut? Thee Album","Redman",5,10,1,0.000582429774312752,12,13
1992,"You Hear It! You Fear It!","Dynamix II",5,10,0,0.000127892954213055,5,0
1993,"21 & Over","Tha Alkaholiks",9,36,0,0.00034372189171468,12,7
1993,"93 'Til Infinity","Souls of Mischief",7,21,0,0.000487627412469938,3,11
1993,"Babel","D*Note",15,105,33,0.000127892954213055,1,0
1993,"Bacdafucup","Onyx",7,21,0,0.000496971747827706,10,8
1993,"Comin' Out Hard","8Ball and MJG",20,190,39,0.00253767444582687,6,78
1993,"Doggystyle","Snoop Dogg",9,36,0,0.00263801938735723,22,71
1993,"Domino","Domino",6,15,0,0.000345198711361622,5,5
1993,"Enta da Stage","Black Moon",6,15,0,0.000901864180479294,13,11
1993,"Enter the Wu-Tang (36 Chambers)","Wu-Tang Clan",34,561,68,0.0029885450388164,15,68
1993,"Hand on the Torch","Us3",13,78,9,0.000310886456199569,2,4
1993,"In a Word or 2","Monie Love",8,28,4,0.000363763939228095,12,5
1993,"Intoxicated Demons","The Beatnuts",5,10,0,0.000467617281798179,12,7
1993,"Juvenile Hell","Mobb Deep",21,210,33,0.00129532845794035,11,39
1993,"My Field Trip to Planet 9","Justin Warfield",2,1,0,0.000127892954213055,1,0
1993,"Neva Again","Kam",7,21,0,0.000127892954213055,4,0
1993,"No Pressure","Erick Sermon",13,78,1,0.00105042951625185,5,15
1993,"Pyramix","The Egyptian Lover",6,15,4,0.0025809080049312,9,13
1993,"Reachin' (A New Refutation of Time and Space)","Digable Planets",16,120,57,0.000549648190486756,15,16
1993,"Represent","Fat Joe",14,91,1,0.000679473213084844,13,20
1993,"Return of the Boom Bap","KRS-One",5,10,0,0.00262791569371384,12,65
1993,"Sittin' on Something Phat","Ant Banks",18,153,19,0.000173654889179483,5,1
1993,"SlaughtaHouse","Masta Ace Incorporated",6,15,0,0.000127892954213055,5,0
1993,"Vagina Diner","Akinyele",4,6,0,0.000127892954213055,2,0
1993,"Which Doobie U B?","Funkdoobiest",7,21,1,0.000294389494846029,9,6
1993,"Whoomp! (There It Is)","Tag Team",14,91,7,0.000184878954954799,2,1
1994,"6 Feet Deep","Gravediggaz",14,91,4,0.000487163176657707,4,11
1994,"Bangin' on Wax, Vol. 2: The Saga Continues","Bloods & Crips",8,28,0,0.000127892954213055,1,0
1994,"Between a Rock and a Hard Place","The Artifacts",7,21,0,0.000160096559142744,2,1
1994,"Blunted on Reality","Fugees",13,78,3,0.000913349353070296,19,21
1994,"Detroit 4 Life","A.W.O.L.",5,10,0,0.000127892954213055,6,0
1994,"Federal","E-40",5,10,0,0.00108066236712772,10,30
1994,"Funkdafied","Da Brat",14,91,5,0.000738769501772259,9,13
1994,"G. Love & Special Sauce","G. Love & Special Sauce",6,15,0,0.000884437463434502,8,8
1994,"Heat 4 Yo Azz","Celly Cel",13,78,1,0.000127892954213055,7,0
1994,"Home","Spearhead",6,15,11,0.00020955811097103,12,5
1994,"Illmatic","Nas",16,120,0,0.0028272034286336,22,97
1994,"It Takes a Thief","Coolio",10,45,0,0.000402814549548357,14,7
1994,"Jazzkantine","Jazzkantine",7,21,18,0.000127892954213055,3,0
1994,"Nut-Meg Sez ""Bozo the Town""","Weapon of Choice",7,21,0,0.000127892954213055,1,0
1994,"Play Witcha Mama","Willie D",7,21,0,0.000322669845026242,1,8
1994,"Project: Funk Da World","Craig Mack",2,1,0,0.000247754675357704,8,5
1994,"Ready to Die","The Notorious B.I.G.",18,153,2,0.00222212632842067,15,70
1994,"Regulate...G Funk Era","Warren G",13,78,12,0.000264551074761809,9,6
1994,"Riders of the Storm: The Underwater Album","Boogiemonsters",5,10,0,0.000127892954213055,2,0
1994,"Somethin' Serious","Big Mike",8,28,2,0.000127892954213055,4,0
1994,"Southernplayalisticadillacmuzik","OutKast",12,66,2,0.0030852709008774,15,90
1994,"The Autopsy","C-BO",6,15,0,0.000592213276036125,11,7
1994,"The Most Beautifullest Thing in This World","Keith Murray",6,15,0,0.000127892954213055,5,0
1994,"The Sun Rises in the East","Jeru the Damaja",21,210,12,0.000396317640464331,10,7
1994,"Tical","Method Man",18,153,2,0.000377489570741768,11,10
1994,"To the Death","M.O.P.",8,28,0,0.000432625813083351,7,6
1994,"Understanding the Criminal Mind","Tru",4,6,0,0.000322373768645038,4,6
1994,"We Come Strapped","MC Eiht",27,351,66,0.000419453139012903,4,8
1995,"3 'n the Mornin', Pt. 1","DJ Screw",10,45,5,0.000896658346592877,9,19
1995,"4, 5, 6","Kool G Rap",2,1,0,0.00236272451417331,9,41
1995,"All Balls Don't Bounce","Aceyalone",5,10,0,0.000795800812868569,16,14
1995,"All in the Game","Crime Boss",11,55,0,0.000289341587163968,11,6
1995,"Anotha Day Anotha Balla","South Circle",6,15,0,0.000136952038469814,2,1
1995,"Being Myself","Juvenile",10,45,0,0.00034868132540751,19,12
1995,"Curb Servin'","WC and the Maad Circle",7,21,1,0.000171376558645494,3,2
1995,"Do You Want More?!!!??!","The Roots",17,136,27,0.0010502364191425,19,30
1995,"Doe or Die","AZ",11,55,13,0.00038534242735736,10,10
1995,"Dogg Food","Tha Dogg Pound",8,28,0,0.000297298675245892,14,7
1995,"E 1999 Eternal","Bone Thugs-N-Harmony",7,21,0,0.0014880065796382,17,26
1995,"Jazzmatazz, Vol. 2 (The New Reality)","Guru",10,45,0,0.000895300737569056,6,17
1995,"Legal Drug Money","The Lost Boyz",2,1,0,0.000592538997420325,10,10
1995,"Lifestylez Ov Da Poor & Dangerous","Big L",9,36,2,0.000392778449549149,11,13
1995,"Liquid Swords","GZA",23,253,57,0.000489172774864488,10,10
1995,"Live N Direct [Priority/Get Low]","San Quinn",5,10,0,0.000146011122726572,1,1
1995,"Livin' Proof","Group Home",15,105,15,0.000127892954213055,2,0
1995,"Mack 10","Mack 10",19,171,7,0.000235461059567279,7,3
1995,"Mystic Stylez","Three 6 Mafia",13,78,6,0.00135350065006317,14,46
1995,"Mystikal","Mystikal",8,28,0,0.000283474386516494,11,8
1995,"Ocean of Funk","E.S.G.",6,15,0,0.000175414014331358,8,5
1995,"One Mo' Gen","95 South",6,15,1,0.000137775591584064,3,1
1995,"Only Built 4 Cuban Linx","Raekwon",16,120,0,0.000583946091672437,8,19
1995,"Operation Stackola","Luniz",14,91,17,0.000191306544010362,3,2
1995,"Prophecy","Capleton",12,66,12,0.000139603879497701,6,1
1995,"Return to the 36 Chambers: The Dirty Version","Ol' Dirty Bastard",17,136,19,0.000341173966158613,16,10
1995,"Season of da Siccness","Brotha Lynch Hung",12,66,0,0.000310017389588446,6,6
1995,"Simple & Funky","Alliance Ethnik",9,36,6,0.000127892954213055,4,0
1995,"Soul Food","Goodie Mob",4,6,0,0.00084817615405414,16,25
1995,"The Mix Tape, Vol. 1: 60 Minutes of Funk","Funkmaster Flex",11,55,0,0.000703858265885908,7,9
1995,"True Story","B.G.",5,10,0,0.000127892954213055,3,0
1995,"What's on My Mind?","The Dayton Family",2,1,0,0.000205717917923833,2,4
1996,"At the Speed of Life","Xzibit",6,15,0,0.000288753117313726,13,6
1996,"Barrio Love [1996]","DarkRoom Familia",4,6,0,0.000127892954213055,2,0
1996,"Black a Da Berry","Alfonzo Hunter",3,3,3,0.000127892954213055,4,0
1996,"Bow Down","Westside Connection",7,21,0,0.000658936239743237,9,8
1996,"Can It Be","Gangsta Blac",13,78,3,0.000127892954213055,4,0
1996,"Chronicle of Two Losers","Ill Biskits",9,36,1,0.000127892954213055,4,0
1996,"Come Find Yourself","Fun Lovin' Criminals",7,21,1,0.000127892954213055,7,0
1996,"Comparison","Beyond",8,28,2,0.000127892954213055,2,0
1996,"Controversee...That's Life...And That's the Way It Is","Freak Nasty",7,21,0,0.000127892954213055,1,0
1996,"Coolin' Off","Galactic",4,6,0,0.000127892954213055,14,0
1996,"Delinquent Habits","Delinquent Habits",7,21,0,0.000137775591584064,7,1
1996,"Get on Up and Dance","Quad City DJ's",9,36,4,0.000127892954213055,4,0
1996,"Gravity","Da Bush Babees",8,28,0,0.000152481897195685,1,2
1996,"Hard Core","Lil' Kim",16,120,3,0.00070759521939226,16,16
1996,"Here to Save You All","Chino XL",9,36,1,0.000127892954213055,3,0
1996,"Ill Na Na","Foxy Brown",8,28,0,0.000485872609672936,13,12
1996,"Ironman","Ghostface Killah",7,21,0,0.000371789461843802,9,9
1996,"Kollage","Bahamadia",2,1,0,0.000157244387204952,2,1
1996,"Mista","Mista",8,28,8,0.000127892954213055,2,0
1996,"Nocturnal","Heltah Skeltah",2,1,1,0.000592526914967709,7,7
1996,"On the Run","Tommy Wright III",9,36,0,0.000127892954213055,4,0
1996,"Piece of Mind","Tela",11,55,0,0.000127892954213055,3,0
1996,"Psychoanalysis: What Is It?","Prince Paul",12,66,10,0.00176568990944905,7,29
1996,"Reasonable Doubt","Jay-Z",15,105,1,0.00337397082977141,19,103
1996,"Ridin' Dirty","UGK",6,15,0,0.00113960781175895,9,43
1996,"Speech","Speech",4,6,2,0.000127892954213055,2,0
1996,"The Coming","Busta Rhymes",18,153,0,0.000811449277695895,16,18
1996,"The Illness","Spectre",6,15,1,0.000127892954213055,3,0
1996,"The Lost Generation","Shyheim",2,1,1,0.000127892954213055,2,0
1996,"Wicked Wayz","Mr. Mike",8,28,0,0.000127892954213055,2,0
1997,"2 Much Booty (In da Pants)","Soundmaster T",7,21,1,0.000127892954213055,1,0
1997,"Based on a True Story","Trick Daddy",6,51,0,0.000650560554723415,15,18
1997,"Belle Isle Tech","DJ Assault",15,105,3,0.000148694165604255,6,1
1997,"Big Willie Style","Will Smith",17,136,7,0.000416103545383435,16,8
1997,"Can't Get Enough","Impromp2",16,120,28,0.000127892954213055,3,0
1997,"Don't Mess Wit Texas","Lil' Keke",5,10,0,0.000524432117954424,12,7
1997,"F' Real","Murs",8,28,0,0.000416752534384206,11,8
1997,"Funcrusher Plus","Company Flow",21,210,3,0.000501783196205363,20,12
1997,"Get Crunk, Who U Wit: Da Album","Lil Jon & the East Side Boyz",5,10,0,0.000343943115254607,2,7
1997,"Get It How U Live!","The Hot Boys",7,21,0,0.000305124878612271,4,8
1997,"Harlem World","Mase",16,120,9,0.000439364714299025,6,7
1997,"Homicidal Lifestyle","Gangsta Pat",5,10,0,0.000127892954213055,9,0
1997,"Japan X-Clusive","The X-ecutioners",8,28,0,0.000583827250212149,8,8
1997,"L' École du Micro d'Argent","IAM",3,3,1,0.000146011122726572,3,1
1997,"No More Glory","MJG",20,190,12,0.000134287601923708,6,1
1997,"On a Mission","DJ Squeeky",5,10,0,0.000127892954213055,4,0
1997,"Presents the Carnival","Wyclef Jean",13,78,36,0.000451866984314806,16,6
1997,"Scouts Honor...By Way of Blood","Rampage",2,1,0,0.000127892954213055,1,0
1997,"Severe Damage","DJ Hurricane",7,21,0,0.00015507020698333,2,1
1997,"Sex Style","Kool Keith",22,231,37,0.00151031584764078,16,31
1997,"Silent Weapons for Quiet Wars","Killarmy",20,190,18,0.000127892954213055,1,0
1997,"Supa Dupa Fly","Missy Elliott",12,66,14,0.00150660255184576,11,35
1997,"The 18th Letter","Rakim",12,66,6,0.00205536472803004,1,50
1997,"The Psycho-Social, Chemical, Biological and Electo-Magnetic Manipulation of Human Consciousness","Jedi Mind Tricks",13,78,14,0.000164129291240088,8,1
1997,"The War Report","Capone-N-Noreaga",7,21,0,0.000461999460641797,14,11
1997,"Thought of Many Ways","Botany Boyz",3,3,0,0.000127892954213055,5,0
1997,"Top Authority: Uncut (The New Year)","Top Authority",8,28,0,0.000149634756429275,2,1
1997,"Uptown Saturday Night","Camp Lo",14,91,6,0.000211734258814051,4,4
1997,"Waterbed Hev","Heavy D",10,45,1,0.000483194982104985,3,7
1997,"Wildstylus","DJ Babu",8,28,0,0.00015507020698333,1,1
1998,"12 Soulful Nights of Christmas","Jermaine Dupri",6,15,0,0.000632903410383065,10,12
1998,"2 Wild for the World","Tom Skeemask",6,15,0,0.000127892954213055,4,0
1998,"A Million Words, A Million Dollars","Lunasicc",4,6,0,0.000127892954213055,3,0
1998,"Angry Samoans","Boo-Yaa T.R.I.B.E.",20,190,1,0.000366357771010854,8,7
1998,"Anti-Theft Device","Mix Master Mike",16,120,1,0.000349976150649733,5,6
1998,"Aquel Que Habia Muerto","Vico C",11,55,0,0.000533318396793044,1,9
1998,"Behind the Front","The Black Eyed Peas",9,36,0,0.000278191397563815,16,4
1998,"Black Star","Black Star",12,66,2,0.000244031936919863,5,6
1998,"Body Parts","Prophet Posse",6,15,0,0.000127892954213055,2,0
1998,"Can-I-Bus","Canibus",9,36,0,0.000143422812938926,18,1
1998,"Capital Punishment","Big Pun",8,28,0,0.000296525933080074,7,9
